employee_id,department,experience_years,salary,performance_score,satisfaction_rating,projects_completed,overtime_hours,training_hours,attrition_risk
1,HR,20,500000.0,1.95,8.9,27,10.0,50,Low
2,Finance,16,,1.94,3.5,0,200.0,47,Medium
3,Marketing,22,89158.49,4.53,2.7,100,13.3,65,Low
4,Finance,13,119169.01,2.77,8.9,6,4.4,95,Medium
5,Finance,19,114960.99,2.32,6.9,1,10.4,7,Low
6,Sales,17,43409.58,2.8,3.8,23,3.6,21,Low
7,Marketing,4,50789.98,3.68,7.7,27,7.4,5,Low
8,Marketing,12,42731.79,1.58,8.3,4,11.5,75,Low
9,Marketing,9,60057.84,2.8,6.5,6,8.0,56,Medium
10,Finance,19,76098.39,3.35,7.2,3,2.2,35,Low
11,HR,12,79840.3,4.79,4.4,4,2.0,78,High
12,Marketing,9,44390.43,2.01,5.8,23,14.0,91,High
13,Finance,7,37652.96,2.44,5.7,0,4.5,56,Medium
14,Sales,14,59704.17,2.52,8.6,0,18.1,48,Low
15,HR,20,93323.43,3.42,8.6,14,2.2,44,Low
16,Sales,19,96807.26,2.43,8.5,19,10.1,81,Medium
17,HR,15,109116.5,3.13,1.1,18,2.4,65,Low
18,Finance,16,74353.39,4.13,7.7,28,9.8,76,Low
19,Engineering,21,91563.07,3.82,7.8,9,0.6,44,Medium
20,HR,5,95197.9,2.79,7.1,27,3.7,78,Medium
21,Sales,3,65062.82,4.46,7.8,17,5.3,19,Medium
22,Finance,12,82756.9,3.23,8.6,27,3.0,63,Low
23,HR,20,88174.1,3.16,5.2,2,10.9,92,Medium
24,Engineering,21,56816.85,1.14,5.5,10,0.9,92,Low
25,Engineering,4,107841.92,4.95,2.1,14,3.2,66,Low
26,Marketing,21,74223.75,1.49,4.5,26,3.0,82,High
27,Marketing,23,76740.7,1.92,6.8,29,15.5,2,Low
28,Sales,16,56053.17,1.21,8.0,10,3.5,53,Low
29,HR,7,59411.48,3.56,3.0,16,24.3,77,Low
30,HR,13,31069.71,1.9,2.2,16,11.3,63,High
31,Marketing,21,76103.12,1.72,7.0,5,4.8,39,Medium
32,HR,10,,1.35,1.0,4,2.9,58,Medium
33,HR,7,54627.61,1.41,2.6,7,5.2,54,Medium
34,Engineering,14,134523.94,3.34,1.3,1,9.4,61,Low
35,Marketing,5,103285.03,3.75,2.5,15,4.4,3,Low
36,Finance,3,65528.22,2.59,2.6,19,13.9,59,Low
37,Marketing,23,75545.29,2.92,4.5,23,10.7,74,Low
38,Finance,11,,3.74,4.6,11,10.7,94,Low
39,Engineering,11,109123.28,1.07,8.9,5,8.5,95,High
40,Sales,18,85340.31,2.29,5.6,0,5.2,90,Low
41,HR,15,98639.48,4.89,7.5,3,10.4,29,Low
42,Engineering,12,82163.44,3.32,1.9,16,9.7,1,Low
43,HR,9,72760.55,2.02,3.0,12,2.2,61,Low
44,Sales,10,81528.47,3.09,7.3,17,0.4,48,High
45,Sales,12,66861.12,2.37,1.5,4,5.8,8,Low
46,Engineering,17,45955.92,3.13,5.4,29,17.4,91,Low
47,Sales,6,91273.77,1.5,6.4,23,4.9,30,Medium
48,Finance,7,44976.71,1.53,6.4,23,6.7,97,Low
49,Sales,14,69623.32,1.57,1.2,26,6.3,60,Low
50,HR,13,66202.71,4.76,3.9,2,5.4,78,Low
51,HR,8,87867.08,3.93,6.7,10,6.4,47,Medium
52,HR,10,106294.09,1.65,2.3,12,7.0,24,High
53,HR,9,99099.41,1.75,7.3,3,3.2,35,Medium
54,Finance,18,,3.92,7.7,25,16.9,7,Low
55,Marketing,2,62402.57,1.62,9.8,26,7.8,72,Medium
56,Engineering,5,71330.62,1.94,2.9,13,1.6,57,Low
57,HR,5,68414.53,4.85,8.4,21,4.2,44,Low
58,Sales,6,,2.02,5.7,10,8.1,61,Low
59,HR,19,66950.98,3.65,4.4,26,3.6,38,Low
60,Sales,8,66417.24,4.91,2.1,9,18.3,95,Medium
61,Sales,16,65531.48,2.5,7.6,18,5.2,57,Medium
62,HR,13,94037.66,1.07,3.1,17,6.8,80,High
63,Finance,1,53907.26,1.98,4.3,5,5.1,98,Medium
64,Sales,22,60410.52,4.32,1.6,26,0.1,82,Medium
65,Sales,20,43331.87,4.46,8.2,28,2.0,63,Low
66,HR,17,103309.66,4.07,7.9,14,2.5,43,Low
67,Sales,7,59069.94,1.45,7.6,20,15.3,28,Medium
68,Sales,13,88215.5,4.18,3.7,29,9.5,58,Low
69,HR,4,84506.38,4.67,2.6,9,3.9,70,Medium
70,HR,4,101376.77,3.4,6.7,4,7.0,91,Low
71,Engineering,6,70799.67,4.76,5.5,25,9.0,8,Low
72,Finance,19,56049.2,4.31,2.6,28,14.1,91,Low
73,Finance,12,43885.0,3.67,7.2,4,17.6,5,Low
74,Sales,22,19307.29,3.31,9.9,9,3.1,28,Low
75,Finance,7,78227.06,2.39,7.7,27,1.5,57,Medium
76,Sales,10,90509.45,1.64,7.7,4,5.1,16,Low
77,Engineering,19,84433.76,3.42,9.6,2,3.1,15,Medium
78,HR,7,44404.71,2.27,2.8,22,8.7,86,Low
79,HR,3,95776.52,4.47,,5,12.9,94,Low
80,HR,13,61035.68,4.97,9.8,3,4.4,2,Low
81,Finance,13,56861.93,4.01,2.5,17,2.4,20,Medium
82,Engineering,18,60587.36,1.36,7.3,27,6.2,63,Low
83,Finance,20,76568.18,2.15,6.3,8,1.7,89,Medium
84,Finance,8,45305.97,1.44,6.3,16,21.7,35,Low
85,Engineering,9,74259.28,3.6,7.3,28,7.9,85,Medium
86,Engineering,7,83588.96,4.06,9.4,12,6.5,61,Low
87,Engineering,1,97146.48,4.7,8.0,26,21.2,41,Medium
88,Engineering,3,78519.13,2.75,1.5,14,5.1,75,Medium
89,HR,13,48207.43,4.61,8.7,29,3.5,41,High
90,Marketing,17,77977.8,4.51,,19,2.1,60,Low
91,Marketing,24,53794.83,2.27,4.4,16,3.6,12,Low
92,Engineering,1,52641.1,4.48,5.2,12,16.0,10,Low
93,Marketing,6,47745.93,2.5,5.3,15,12.7,53,Medium
94,Marketing,21,36774.93,2.19,4.9,21,17.3,15,Medium
95,Engineering,6,63656.74,3.6,9.4,3,6.4,7,Medium
96,Marketing,12,97577.77,2.31,7.4,4,2.9,58,Low
97,Finance,13,120129.68,3.52,6.7,4,1.6,56,Low
98,Sales,13,63528.3,3.44,1.4,8,9.7,39,Low
99,Sales,15,,3.25,9.1,16,7.8,58,High
100,Engineering,21,67108.35,2.52,9.2,12,8.7,1,Medium
101,HR,16,41985.29,3.19,8.0,1,21.2,93,High
102,Engineering,22,89018.85,3.39,1.1,12,5.9,93,Low
103,HR,21,79696.28,3.18,1.5,21,6.5,75,Medium
104,Sales,11,111360.39,2.78,3.0,20,0.3,9,Medium
105,Engineering,5,44306.43,1.06,2.2,26,8.4,43,Low
